,Год,Статья,Название,Всего осуждено,Пожизненное лишение свободы,Лишение свободы,Условное осуждение к лишению свободы,Арест,Ограничение свободы,"Ограничение свободы/ограничение по военной службе, содержание в дисциплинарной воинской части",Исправительные работы,Обязательные работы,Принудительные работы,Штраф,Лишение права занимать определенные должности или заниматься определенной деятельностью,Условное осуждение к иным мерам,Содержание в дисциплинарной воинской части,Ограничение по военной службе,из числа осужденных имеется коррупционный мотив,Лишение свободы: количество осужденных по срокам до 1 года включительно,Лишение свободы: количество осужденных по срокам свыше 1 до 2 лет включительно,Лишение свободы: количество осужденных по срокам свыше 1 до 3 лет включительно,Лишение свободы: количество осужденных по срокам свыше 2 до 3 лет включительно,Лишение свободы: количество осужденных по срокам свыше 3 до 5 лет включительно,Лишение свободы: количество осужденных по срокам свыше 5 до 8 лет включительно,Лишение свободы: количество осужденных по срокам свыше 8 до 10 лет включительно,Лишение свободы: количество осужденных по срокам свыше 10 до 15 лет включительно,Лишение свободы: количество осужденных по срокамсвыше 15 до 20 лет включительно,Наказание назначено ниже низшего предела: лишение свободы,Штраф (основное наказание): количество осужденных по размеру штрафа до 5 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 500 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 100 тыс. до 300 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 300 тыс. до 500 тыс. руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше  500 тыс. до 1 млн руб.,Штраф (основное наказание): количество осужденных по размеру штрафа свыше 1 млн руб.,Общая сумма штрафов,Освобождено от наказания Освобождено от наказания: по амнистии,Освобождено от наказания Освобождено от наказания: по другим основаниям: от лишения свободы,Освобождено от наказания Освобождено от наказания: по другим основаниям: от иных мер или наказание не назначалось,Оправдано,"Прекращено за отсутствием события, состава, непричастностью к преступлению",Прекращено по амнистии,Прекращено за примирением с потерпевшим,Прекращено в связи с деятельным раскаянием,Прекращено судебный штраф,Прекращено по другим основаниям,Прекращено по другим основаниям: на основании примечаний к статьям УК РФ (в связи с деятельным раскаянием ч. 2 ст. 28 УПК РФ),Судебный штраф: количество осужденных по размеру штрафа до 5 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Судебный штраф: количество осужденных по размеру штрафа свыше 100 тыс. руб.,Судебный штраф: общая сумма,Принудительные меры к невменяемым,Дополнительное наказание: лишение права занимать определенные должности или заниматься определенной деятельностью,Дополнительное наказание: штраф,"Дополнительное наказание: лишение специального, воинского или почетного звания, классного чина и государственных наград",Дополнительное наказание: ограничение свободы,Штраф (дополнительное наказание): количество осужденных по размеру штрафа до 5 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 5 тыс. до 25 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 500 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 25 тыс. до 100 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 100 тыс. до 300 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 300 тыс. до 500 тыс. руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше  500 тыс. до 1 млн руб.,Штраф (дополнительное наказание): количество осужденных по размеру штрафа свыше 1 млн руб.,Штраф (дополнительное наказание): общая сумма,"Преступление не является оконченным (приготовление, покушение)","Обстоятельства, исключающие преступность: необходимая оборона","Обстоятельства, исключающие преступность: крайняя необходимость","Обстоятельства, исключающие преступность, предусмотренные статьями 38, 40 - 42 УК РФ",Доп. квалификация: осуждено по числу лиц,Доп. квалификация: осуждено по количеству составов преступлений,Доп. квалификация: оправдано по числу лиц,Доп. квалификация: оправдано по количеству составов преступлений,Доп. квалификация: прекращено по числу лиц,Доп. квалификация: прекращено по количеству составов преступлений,Доп. квалификация: прекращено по иным основаниям по числу лиц,Доп. квалификация: прекращено по иным основаниям по количеству составов преступлений,Доп. квалификация: признано невменяемыми по числу лиц,Доп. квалификация: признано невменяемыми по количеству составов преступлений,Освобождено от наказания по другим основаниям/от лишения свободы,Освобождено от наказания по другим основаниям/от иных мер,Освобождено от наказания по амнисти/от лишения свободы,Освобождено от наказания по амнистии/от иных мер,"Освобождено от наказания в связи с зачетом срока содержания под стражей, домашнего ареста/от лишения свободы","Освобождено от наказания в связи с зачетом срока содержания под стражей, домашнего ареста/от иных мер",Принудительные меры медицинского характера в отношении невменяемого дополнительная квалификация по судебным постановлениям по количеству составов преступлений
1,2010,132ч.3,Те же деяния при особо отягчающих обстоятельствах,431,0,404,27,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,3,,14.0,,83,110,134,60,0,48,,,,,,,,,,0.0,0.0,0.0,3,0,0,0,0,,3,0.0,,,,,,31,3.0,0.0,0.0,12.0,,,,,,,,,,,,,,129,366.0,,,,,,,,,,,,,,,
2,2010,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если они повлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",340,0,318,22,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,1,,10.0,,21,63,12,198,13,26,,,,,,,,,,0.0,0.0,0.0,1,0,0,0,0,,1,0.0,,,,,,52,10.0,0.0,0.0,40.0,,,,,,,,,,,,,,38,164.0,,,,,,,,,,,,,,,
3,2011,132ч.3,Те же деяния при особо отягчающих обстоятельствах,253,0,235,17,0.0,0.0,,0,0,,0,0,0,0.0,0.0,1.0,0,9.0,,9.0,41,58,86,32,0,43,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,0.0,0,0,0,0,0,,2,0.0,,,,,,7,8.0,0.0,0.0,58.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,187,352.0,,,,,,,,,,,,,,,
4,2011,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",545,0,522,22,0.0,0.0,,1,0,,0,0,0,0.0,0.0,0.0,0,7.0,,8.0,26,93,19,341,28,83,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,1,1,0,0,0,,2,0.0,,,,,,54,34.0,0.0,0.0,189.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,100,445.0,,,,,,,,,,,,,,,
5,2012,132ч.3,Те же деяния при особо отягчающих обстоятельствах,131,0,127,4,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,1,0.0,,0.0,23,28,59,16,0,23,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,1,0,0,0,0,,0,0.0,,,,,,4,2.0,0.0,0.0,57.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,127,245.0,,,,,,,,,,,,,,,
6,2012,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",384,0,369,14,0.0,1.0,,0,0,,0,0,0,0.0,0.0,0.0,1,5.0,,7.0,22,69,9,246,10,79,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,7,0,0,0,0,,4,0.0,,,,,,47,19.0,0.0,0.0,201.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,92,415.0,,,,,,,,,,,,,,,
7,2012,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",0,0,0,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,0,0,0,0,0,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0,0.0,,,,,,,,,,,,,,,
8,2013,132ч.3,Те же деяния при особо отягчающих обстоятельствах,157,0,154,6,0.0,0.0,,0,0,,0,0,0,0.0,0.0,,0,1.0,,4.0,32,41,59,17,0,31,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,8,0,0,0,0,,1,0.0,,,,,,8,8.0,0.0,1.0,78.0,0.0,0.0,0.0,,,,0.0,0.0,,13.0,0.0,0.0,0.0,163,368.0,,,,,,,,,,,,,,,
9,2013,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",748,0,737,6,0.0,2.0,,0,0,,1,0,0,0.0,0.0,,5,11.0,,21.0,44,169,40,430,18,215,0.0,0.0,,1.0,,,0.0,0.0,,0.0,2.0,0.0,33,0,0,0,0,,7,0.0,,,,,,94,44.0,0.0,1.0,458.0,0.0,0.0,0.0,,,,0.0,0.0,,16.0,0.0,0.0,0.0,104,1022.0,,,,,,,,,,,,,,,
11,2014,132ч.3,Те же деяния при особо отягчающих обстоятельствах,226,0,217,9,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,4.0,,3.0,22,63,103,22,0,23,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,6,3.0,0.0,0.0,99.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,163,376.0,,,,,,,,,,,,,,,
12,2014,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",863,0,853,2,0.0,2.0,,2,2,0.0,1,0,0,0.0,0.0,,7,13.0,,26.0,82,178,32,491,24,292,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,19,3,0,0,0,,4,0.0,,,,,,106,65.0,0.0,0.0,609.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,94,1188.0,,,,,,,,,,,,,,,
13,2014,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",33,1,32,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,1,1,2,9,19,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,3,24.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,2,26.0,,,,,,,,,,,,,,,
14,2015,132ч.3,Те же деяния при особо отягчающих обстоятельствах,211,0,202,7,0.0,1.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,7.0,39,46,93,17,0,25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0,0,0,0,0,,7,0.0,,,,,,10,4.0,0.0,0.0,79.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,199,660.0,6.0,8.0,7.0,13.0,4.0,16.0,10.0,10.0,,,,,,,
15,2015,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",1011,0,1003,2,0.0,2.0,,3,0,0.0,1,0,0,0.0,0.0,,5,5.0,,24.0,78,188,32,638,33,227,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,5,0,0,0,0,,18,0.0,,,,,,140,62.0,0.0,0.0,604.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,145,1697.0,18.0,41.0,15.0,81.0,8.0,39.0,140.0,140.0,,,,,,,
16,2015,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",23,0,23,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,2,3,8,10,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,2,19.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,4,21.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,,
17,2016,132ч.3,Те же деяния при особо отягчающих обстоятельствах,222,0,213,8,0.0,1.0,,0,0,0.0,0,0,0,0.0,0.0,,1,7.0,,5.0,43,51,79,27,0,24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,1,0.0,,,,,,5,4.0,0.0,0.0,87.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,171,401.0,4.0,9.0,6.0,26.0,3.0,10.0,5.0,5.0,,,,,,,
18,2016,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если ониповлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",1120,0,1108,2,0.0,4.0,,0,3,0.0,2,0,0,0.0,0.0,,4,10.0,,30.0,68,175,23,761,37,201,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2,1,0,0,0,,22,0.0,,,,,,155,67.0,0.0,2.0,623.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15.0,0.0,0.0,0.0,115,1565.0,14.0,29.0,14.0,19.0,15.0,42.0,155.0,155.0,,,,,,,
19,2016,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",39,0,39,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,4,2,15,18,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,0,0,0,0,,1,0.0,,,,,,3,32.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,3,57.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,,,,,,,
21,2017,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если они повлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",1189,0,1172,3,0.0,6.0,,0,4,0.0,2,0,0,0.0,0.0,,9,18.0,,27.0,87,182,38,785,26,234,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,10,2,0,0,0,0.0,24,0.0,,,,,,170,67.0,0.0,1.0,678.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,0.0,114,1660.0,22.0,41.0,13.0,17.0,4.0,10.0,170.0,172.0,,,,,,,
22,2017,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",42,0,42,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,1,3,0,14,24,4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,,,,,,4,37.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,4,65.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,,,,,,
23,2018,132ч.3,Насильственные действия сексуального характера при особо отягчающих обстоятельствах,209,0,202,6,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,6.0,,1.0,21,51,98,25,0,18,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,11,6.0,0.0,0.0,106.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,213,699.0,9.0,11.0,6.0,84.0,8.0,10.0,11.0,11.0,,,,,,,
24,2018,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если они повлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",1195,0,1180,2,0.0,5.0,,1,2,0.0,2,0,0,0.0,0.0,,8,20.0,,29.0,81,176,37,790,39,253,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,90000.0,0.0,2.0,1.0,10,3,0,0,0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,181,68.0,0.0,2.0,726.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,112,2074.0,23.0,42.0,11.0,17.0,11.0,20.0,181.0,183.0,,,,,,,
25,2018,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",42,1,41,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,1,1,1,16,22,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,
26,2019,132ч.3,Насильственные действия сексуального характера при особо отягчающих обстоятельствах,212,0,202,9,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,4.0,,10.0,24,55,85,24,0,31,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,11,10.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,162,353.0,6.0,12.0,3.0,3.0,5.0,8.0,,44.0,1.0,0.0,0.0,0.0,0.0,0.0,
27,2019,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если они повлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",1266,0,1251,0,0.0,7.0,,0,0,0.0,4,0,0,0.0,0.0,,9,13.0,,32.0,98,216,33,822,28,317,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,80000.0,,,,8,1,0,0,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,178,68.0,0.0,5.0,787.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,122,1938.0,26.0,114.0,11.0,13.0,7.0,11.0,,112.0,2.0,1.0,0.0,0.0,1.0,0.0,
28,2019,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",44,0,44,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,1,3,4,10,26,10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,39.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,2020,132ч.3,Насильственные действия сексуального характера при особо отягчающих обстоятельствах,181,0,170,9,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,2.0,,4.0,25,45,70,24,0,19,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,,6,6.0,0.0,0.0,90.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,150,375.0,6.0,12.0,1.0,1.0,3.0,4.0,,,2.0,0.0,0.0,0.0,0.0,0.0,2.0
30,2020,132ч.4,"Деяния, предусмотренные частями первой или второй настоящей статьи, если они повлекли по неосторожности смерть потерпевшего или совершены в отношении лица, не достигшего четырнадцатилетнего возраста",1048,0,1038,1,0.0,2.0,,2,1,0.0,0,0,0,0.0,0.0,,2,20.0,,25.0,86,181,31,675,18,265,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,4,3,0,0,0,0.0,26,0.0,0.0,0.0,0.0,0.0,,163,64.0,0.0,3.0,678.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,11.0,0.0,0.0,0.0,117,1490.0,15.0,22.0,6.0,6.0,11.0,21.0,,,1.0,1.0,0.0,0.0,2.0,0.0,114.0
31,2020,132ч.5,"Деяния, предусмотренные пунктом ""б"" части четвертой, совершенные лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",37,0,37,0,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,0.0,,0.0,0,3,6,11,17,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,,2,34.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,1,28.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2010,131ч.3,Изнасилование при особо отягчающих обстоятельствах,271,0,262,9,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,2,,8.0,,35,73,108,36,0,22,,,,,,,,,,0.0,0.0,0.0,9,0,0,0,0,,2,0.0,,,,,,7,3.0,0.0,0.0,23.0,,,,,,,,,,,,,,18,79.0,,,,,,,,,,,,,,,
2,2010,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей либо потерпевшей, не достигшей четырнадцатилетнего возраста(в ред. Федерального закона от 27.12.2009 N 377-ФЗ)",75,0,72,3,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,,1.0,,2,9,9,50,1,2,,,,,,,,,,0.0,0.0,0.0,1,0,0,0,0,,0,0.0,,,,,,3,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,6,24.0,,,,,,,,,,,,,,,
3,2011,131ч.3,Изнасилование при особо отягчающих обстоятельствах,361,0,348,13,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,4.0,,4.0,52,98,154,36,0,47,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,15,0,0,0,0,,2,0.0,,,,,,8,8.0,0.0,0.0,174.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,90,173.0,,,,,,,,,,,,,,,
4,2011,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в ред. Федерального закона от 27.12.2009 N 377-ФЗ)",161,0,155,6,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,0.0,,3.0,5,21,11,108,7,29,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,4,0,0,0,0,,1,0.0,,,,,,11,8.0,0.0,0.0,76.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,34,112.0,,,,,,,,,,,,,,,
5,2012,131ч.3,Изнасилование при особо отягчающих обстоятельствах,316,0,278,38,0.0,0.0,,0,0,,0,0,0,0.0,0.0,1.0,0,0.0,,3.0,33,81,115,46,0,41,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,7,0,0,0,0,,1,0.0,,,,,,4,7.0,0.0,1.0,183.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,41,102.0,,,,,,,,,,,,,,,
6,2012,131ч.4,"Изнасилование, повлекшее по неосторожности смерть потерпевшей или потерпевшей, не достигшей четырнадцатилетнего возраста(в ред. Федерального закона от 27.12.2009 N 377-ФЗ)",150,0,146,3,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,0.0,,1.0,7,17,11,100,10,29,0.0,0.0,,0.0,,,0.0,0.0,,0.0,1.0,0.0,4,0,0,0,0,,2,0.0,,,,,,7,5.0,0.0,0.0,89.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,22,96.0,,,,,,,,,,,,,,,
7,2012,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",0,0,0,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,0.0,,0.0,0,0,0,0,0,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0,0.0,,,,,,,,,,,,,,,
8,2012,133ч.2,"То же деяние, совершенное в отношении несовершеннолетнего (несовершеннолетней)",3,0,1,2,0.0,0.0,,0,0,,0,0,0,0.0,0.0,0.0,0,1.0,,0.0,0,0,0,0,0,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,0,0.0,,,,,,,,,,,,,,,
9,2013,131ч.3,Изнасилование при особо отягчающих обстоятельствах,333,0,320,15,0.0,0.0,,0,0,,0,0,0,0.0,0.0,,1,0.0,,2.0,47,96,133,41,0,50,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,17,0,0,0,0,,3,0.0,,,,,,9,11.0,0.0,1.0,192.0,0.0,0.0,0.0,,,,0.0,0.0,,21.0,0.0,0.0,0.0,43,284.0,,,,,,,,,,,,,,,
11,2013,131ч.5,"Деяние, предусмотренное пунктом ""б"" части четвертой, совершенное лицом, имеющим судимость за ранее совершенное преступление против половой неприкосновенности несовершеннолетнего",4,0,4,0,0.0,0.0,,0,0,,0,0,0,0.0,0.0,,0,0.0,,0.0,0,0,0,2,2,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,0,0,,0,0.0,,,,,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,1.0,0.0,0.0,0.0,4,5.0,,,,,,,,,,,,,,,
12,2013,133ч.2,"То же деяние, совершенное в отношении несовершеннолетнего (несовершеннолетней)",18,0,11,7,0.0,0.0,,0,0,,0,0,0,0.0,0.0,,4,3.0,,3.0,1,0,0,0,0,0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,0,1,2,,0,0.0,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,3,7.0,,,,,,,,,,,,,,,
13,2014,131ч.3,Изнасилование при особо отягчающих обстоятельствах,407,0,384,22,0.0,0.0,,0,0,0.0,0,0,0,0.0,0.0,,0,8.0,,4.0,49,119,157,47,0,46,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,6,0,0,0,0,,2,0.0,,,,,,14,11.0,0.0,0.0,185.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,39.0,0.0,0.0,0.0,61,181.0,,,,,,,,,,,,,,,
